Record_Number	Date	Agent_Name	Customer_Name	Family_Size	Province	Sales_Amount
11548	2024-10-26	David	Beth Drake	3	Manitoba	3247
11549	2024-10-26	Kenneth	Amber Case	3	Prince Edward Island	1562
11550	2024-10-26	Gloria	Erin Wu	3	Newfoundland and Labrador	1548
11551	2024-10-26	Olufemi	Francisco Vargas	6	Nova Scotia	2589
11552	2024-10-27	Patricia	Tami Perez	4	New Brunswick	4607
11553	2024-10-27	Gloria	Nathaniel Bridges	5	Manitoba	2543
11554	2024-10-27	Anith	Melissa Smith	3	Quebec	1314
11555	2024-10-27	Olufemi	Leonard Daniels	6	Prince Edward Island	1956
11556	2024-10-27	Anith	Connie Frank	7	Ontario	3297
11557	2024-10-27	David	Peter Campbell	7	Newfoundland and Labrador	1860
11558	2024-10-27	Gloria	Edward Cardenas	7	New Brunswick	2147
11559	2024-10-27	Patricia	Cassandra Meyer	6	Quebec	2067
11560	2024-10-27	David	Teresa Foley	2	Alberta	4478
11561	2024-10-27	David	Michael Evans	6	Alberta	3871
11562	2024-10-28	Kenneth	Mark Adams	6	Nova Scotia	3611
11563	2024-10-28	Kenneth	Allen Fernandez	4	Newfoundland and Labrador	3687
11564	2024-10-28	Kenneth	Bruce Hoffman	5	Alberta	2230
11565	2024-10-28	Olufemi	Alexis Duncan	2	Quebec	1604
11566	2024-10-29	Olufemi	Jodi Nguyen	2	Newfoundland and Labrador	2438
11567	2024-10-29	Anith	Daniel Hernandez	3	British Columbia	2597
11568	2024-10-29	Patricia	Kelly Little	7	Quebec	4952
11569	2024-10-29	Olufemi	Norman French	4	Saskatchewan	4676
11570	2024-10-29	Patricia	Michael Edwards	5	Prince Edward Island	1040
11571	2024-10-29	Gloria	Daniel Campos	5	Saskatchewan	4433
11572	2024-10-30	Gloria	Carl Hoover	3	Alberta	3981
11573	2024-10-30	Gloria	Bradley Clay	7	Saskatchewan	4829
11574	2024-10-30	Patricia	Amy Lynch	4	Newfoundland and Labrador	2848
11575	2024-10-30	Olufemi	Erika Zhang	7	New Brunswick	4721
11576	2024-10-30	Kenneth	Calvin Ward	4	Ontario	3429
11577	2024-10-31	David	Aaron Maldonado	2	Ontario	4782
11578	2024-10-31	Kenneth	Brooke Gregory	4	British Columbia	4958
11579	2024-10-31	Joy	Katherine West	5	British Columbia	4454
11580	2024-10-31	Kenneth	Whitney Watkins	4	Newfoundland and Labrador	1061
11581	2024-10-31	Anith	Brittney Williams	2	Newfoundland and Labrador	1490
11582	2024-10-31	Joy	Michael Thomas	2	Alberta	1753
11583	2024-10-31	Gloria	Dominique Stevens	4	Ontario	4760
11584	2024-10-31	Kenneth	April Simmons	3	New Brunswick	1903
11585	2024-10-31	Joy	Sean Briggs	7	New Brunswick	2448
11586	2024-11-01	Joy	Yesenia Cooper	7	Quebec	3415
11587	2024-11-01	Anith	Toni Thomas	5	Newfoundland and Labrador	1243
11588	2024-11-01	Anith	Stanley Wolf	5	Newfoundland and Labrador	2844
11589	2024-11-01	David	Jenna Russell	7	Quebec	1678
11590	2024-11-01	Kenneth	James Hodges	5	Nova Scotia	1061
11591	2024-11-01	Anith	Chad Lopez	4	Manitoba	3531
11592	2024-11-01	Gloria	Michael Avila	3	New Brunswick	1626
11593	2024-11-01	Anith	Kimberly Brennan	7	British Columbia	1433
11594	2024-11-01	Anith	James Armstrong	3	Alberta	3499
11595	2024-11-01	Anith	Tracy Davis	7	Prince Edward Island	4290
11596	2024-11-02	Gloria	Elizabeth Perez	6	Manitoba	2573
11597	2024-11-02	Anith	Evan King	4	Saskatchewan	1253
11598	2024-11-02	Patricia	Kaitlyn Williams	7	Alberta	3299
11599	2024-11-02	Anith	Emily Gibbs	2	Manitoba	1829
11600	2024-11-02	David	John Weber	4	Alberta	4689
11601	2024-11-02	Joy	Lisa Martin	3	Ontario	1993
11602	2024-11-02	Olufemi	Tanya Henderson	6	Newfoundland and Labrador	1941
11603	2024-11-03	Olufemi	Kristina Reese	7	British Columbia	3596
11604	2024-11-03	Kenneth	Valerie Lynch	6	New Brunswick	4298
11605	2024-11-03	Gloria	Michael Lewis	5	Prince Edward Island	1582
11606	2024-11-03	Gloria	Margaret Velazquez	6	Prince Edward Island	4030
11607	2024-11-03	Patricia	Alejandro Koch	6	Newfoundland and Labrador	1522
11608	2024-11-03	Patricia	Colleen Phillips	2	Ontario	4281
11609	2024-11-03	Patricia	Jared Turner	6	Saskatchewan	1996
11610	2024-11-03	Anith	Robin Barton	3	Quebec	4330
11611	2024-11-04	Joy	Charles Jenkins	6	Newfoundland and Labrador	4035
11612	2024-11-04	Patricia	Jonathan Chen	4	New Brunswick	4278
11613	2024-11-04	Joy	Alexandra Moore	5	Alberta	2362
11614	2024-11-05	Joy	Kevin Nelson	4	Saskatchewan	4762
11615	2024-11-05	Gloria	Tammy Fritz	3	Nova Scotia	3304
11616	2024-11-05	Gloria	John Mcintyre	2	New Brunswick	4408
11617	2024-11-05	David	Robert Johnson	4	Manitoba	3094
11618	2024-11-05	Kenneth	Timothy Richmond	3	Newfoundland and Labrador	1380
11619	2024-11-05	Anith	Ricardo Owens MD	6	Ontario	3124
11620	2024-11-06	David	Kirsten Zamora	4	Alberta	3571
11621	2024-11-06	Anith	Susan Cooper	6	Saskatchewan	3874
11622	2024-11-06	Kenneth	Cheryl Adams	3	Prince Edward Island	2492
11623	2024-11-07	Gloria	Michelle Morton	4	Ontario	4923
11624	2024-11-07	Gloria	Kevin Mcconnell	4	Newfoundland and Labrador	2504
11625	2024-11-07	Anith	Andrea Edwards	3	British Columbia	2612
11626	2024-11-08	Kenneth	Heather Carter	6	Quebec	3382
11627	2024-11-08	Kenneth	Crystal Weaver	2	Manitoba	3169
11628	2024-11-08	Gloria	Erica Hodge	5	Manitoba	3018
11629	2024-11-08	Anith	Emily Dixon	6	New Brunswick	1812
11630	2024-11-08	David	Brittany Kirby	6	Newfoundland and Labrador	2623
11631	2024-11-08	Joy	Samantha Mendez	4	Ontario	4306
11632	2024-11-08	David	Robert Malone	5	Ontario	1321
11633	2024-11-08	David	Nicole Herring	5	Alberta	3898
11634	2024-11-08	Patricia	David Lawrence	7	Quebec	3510
11635	2024-11-09	Joy	Heather Allen	7	Ontario	3684
11636	2024-11-09	Gloria	Francisco Knox	5	Nova Scotia	1934
11637	2024-11-09	Joy	John Giles	6	Prince Edward Island	3535
11638	2024-11-09	Anith	John Campbell	7	Saskatchewan	1884
11639	2024-11-09	Gloria	Jackie Phillips DDS	7	Prince Edward Island	3228
11640	2024-11-10	Patricia	Nicholas Tran	7	New Brunswick	2888
11641	2024-11-10	Patricia	Robert Griffith	6	Prince Edward Island	4793
11642	2024-11-10	Olufemi	Kendra Smith	4	Alberta	3048
11643	2024-11-10	David	Ryan Simmons	3	Quebec	4482
11644	2024-11-10	Olufemi	Kathleen Gonzalez	2	Alberta	3455
11645	2024-11-10	Patricia	Andrew Rogers	6	Alberta	3798
11646	2024-11-10	Anith	Mary Alvarez	7	Manitoba	2461
11647	2024-11-10	Joy	Paul Butler	5	Newfoundland and Labrador	3986
11648	2024-11-10	Patricia	Mr. John Carroll	3	Alberta	4851
11649	2024-11-11	Joy	Jessica Sanchez	7	Newfoundland and Labrador	4005
11650	2024-11-11	Joy	Trevor Jackson	7	British Columbia	2655
11651	2024-11-11	Joy	Jeffrey Hernandez	6	Newfoundland and Labrador	3505
11652	2024-11-11	David	Donald Green	2	Prince Edward Island	2518
11653	2024-11-11	Gloria	Stephanie Price	2	New Brunswick	1410
11654	2024-11-12	David	Kristen Ramirez	4	Newfoundland and Labrador	4716
11655	2024-11-12	Anith	Thomas Johnson	6	Newfoundland and Labrador	4875
11656	2024-11-12	Patricia	Joseph Allen	6	Nova Scotia	1320
11657	2024-11-12	Patricia	Daniel Hudson	2	Prince Edward Island	3927
11658	2024-11-13	Anith	Jeffery Gibson	2	Saskatchewan	2628
11659	2024-11-13	Gloria	Debbie Simon	5	Manitoba	4523
11660	2024-11-13	Patricia	Hannah Thompson	2	Alberta	3020
11661	2024-11-13	Gloria	Lori Ball	2	British Columbia	4282
11662	2024-11-14	Patricia	Joy Zhang	2	Prince Edward Island	3846
11663	2024-11-14	Olufemi	Jason Curtis	4	Quebec	1111
11664	2024-11-14	Olufemi	Erica Wright	4	Prince Edward Island	2963
11665	2024-11-14	Anith	Jennifer Reed	2	New Brunswick	3756
11666	2024-11-14	Kenneth	Roger Price	3	New Brunswick	2032
11667	2024-11-14	Gloria	Joel Marquez	2	Manitoba	3763
11668	2024-11-14	Gloria	Michael Hodge	2	Ontario	1331
11669	2024-11-14	Olufemi	Leslie Jarvis	3	Alberta	4008
11670	2024-11-15	David	Kevin Fitzpatrick	6	Prince Edward Island	2356
11671	2024-11-15	Olufemi	Lori Reeves	5	Ontario	4158
11672	2024-11-15	Kenneth	Robert Christian	7	Manitoba	1155
11673	2024-11-15	Anith	Jennifer Jimenez	4	Newfoundland and Labrador	2769
11674	2024-11-15	Olufemi	Andrew Wallace	6	Alberta	1427
11675	2024-11-15	Gloria	April Cruz	7	Quebec	2997
11676	2024-11-15	Joy	Natalie Morgan	2	Nova Scotia	2595
11677	2024-11-15	Joy	Manuel Smith	7	Manitoba	2033
11678	2024-11-16	Patricia	Tiffany Johnston	2	Nova Scotia	2373
11679	2024-11-16	Kenneth	Monica Campbell	7	Quebec	1289
11680	2024-11-16	David	Eric Woods	2	Saskatchewan	2082
11681	2024-11-16	Patricia	Heather Gray	5	Newfoundland and Labrador	4306
11682	2024-11-16	Kenneth	Sarah Velasquez	5	Alberta	1215
11683	2024-11-17	Anith	Matthew Miller	4	British Columbia	2298
11684	2024-11-17	Anith	Tyler Stewart	2	Ontario	2466
11685	2024-11-17	Kenneth	Michael Lester	7	Newfoundland and Labrador	4306
11686	2024-11-17	Olufemi	Russell Thompson	4	Quebec	4723
11687	2024-11-17	David	Carol Phillips	5	Nova Scotia	3983
11688	2024-11-18	Olufemi	Thomas Butler	6	Saskatchewan	3633
11689	2024-11-18	Anith	Michael Cobb	5	Newfoundland and Labrador	1980
11690	2024-11-18	Olufemi	Richard Henry	5	Alberta	2300
11691	2024-11-18	Olufemi	Kari Robinson	2	New Brunswick	3457
11692	2024-11-18	Anith	Andrew Daniel	3	Quebec	2250
11693	2024-11-18	David	John Williams	5	Ontario	4997
11694	2024-11-18	David	James Ritter	7	Quebec	4497
11695	2024-11-18	Patricia	Christopher Mcgee	5	Saskatchewan	3443
11696	2024-11-18	David	Ashley Lambert	4	Saskatchewan	2846
11697	2024-11-18	David	Jordan Harris	4	Quebec	4026
11698	2024-11-19	Gloria	Anthony Parker	3	Alberta	1495
11699	2024-11-19	Anith	Jacob Deleon	3	Manitoba	3037
11700	2024-11-19	David	Jessica Vega	6	Manitoba	1282
11701	2024-11-19	Olufemi	Michael Hodge	7	Saskatchewan	1683
11702	2024-11-19	Kenneth	David Brown	6	Prince Edward Island	4180
11703	2024-11-19	David	Andrea Johnson MD	6	British Columbia	2378
11704	2024-11-19	Joy	Richard Scott	5	Prince Edward Island	4026
11705	2024-11-20	Patricia	Nicole Taylor	7	Manitoba	1309
11706	2024-11-20	Gloria	Jeffrey Harris	7	Ontario	1928
11707	2024-11-20	Gloria	George Thomas	7	Manitoba	1323
11708	2024-11-20	David	Patrick Cabrera	6	British Columbia	3447
11709	2024-11-20	David	Kenneth Powell	3	British Columbia	1331
11710	2024-11-21	Joy	Brandy Brown	6	New Brunswick	1728
11711	2024-11-21	Anith	Emily Richardson	5	New Brunswick	4473
11712	2024-11-21	Olufemi	Kathryn Harrison	3	Manitoba	4835
11713	2024-11-21	David	Jessica Mathews	7	Ontario	2369
11714	2024-11-21	David	Kathleen Jackson	6	Manitoba	2891
11715	2024-11-21	David	Colin Medina	6	British Columbia	2069
11716	2024-11-21	Olufemi	Michael Murray	2	New Brunswick	3091
11717	2024-11-21	Anith	Shawn Phillips	5	Quebec	2620
11718	2024-11-21	Kenneth	Brian Hill	6	Prince Edward Island	2770
11719	2024-11-22	Kenneth	Sarah Miller	7	Saskatchewan	3606
11720	2024-11-22	Gloria	Jody Dean	7	British Columbia	1126
11721	2024-11-22	David	Peter Kelley	5	Saskatchewan	3149
11722	2024-11-22	Patricia	Cynthia Williams	6	Prince Edward Island	3214
11723	2024-11-22	Anith	Rachel Wu	7	Prince Edward Island	3186
11724	2024-11-22	Gloria	Aaron Franklin	2	Alberta	3080
11725	2024-11-22	Anith	Kaitlyn Thomas	2	Newfoundland and Labrador	4614
11726	2024-11-22	Joy	Loretta Campbell	7	Newfoundland and Labrador	1165
11727	2024-11-23	Patricia	Beth Duncan	4	Quebec	1361
11728	2024-11-23	Joy	Thomas Davis	4	New Brunswick	3631
11729	2024-11-23	Kenneth	Lori Welch	5	British Columbia	3527
11730	2024-11-23	David	Kelly Calderon	3	Saskatchewan	2688
11731	2024-11-23	Olufemi	Walter Rodriguez	7	Saskatchewan	2177
11732	2024-11-24	Anith	Kathleen Wilson	2	Manitoba	4869
11733	2024-11-24	Gloria	Todd Jenkins	6	British Columbia	3750
11734	2024-11-24	Olufemi	Michael Garcia	6	Quebec	2287
11735	2024-11-24	Gloria	Jack Lindsey	3	Prince Edward Island	1189
11736	2024-11-24	Gloria	Richard Novak	2	Quebec	2363
11737	2024-11-25	Anith	Steven Clark	5	Alberta	3515
11738	2024-11-25	David	Abigail Smith	6	Saskatchewan	3449
11739	2024-11-25	Kenneth	Anna Sheppard	3	Quebec	4604
11740	2024-11-25	Patricia	Wesley Garcia	2	Prince Edward Island	3957
11741	2024-11-26	Gloria	Michael Williams	3	Newfoundland and Labrador	1426
11742	2024-11-26	Kenneth	Mary Bennett	4	Prince Edward Island	2935
11743	2024-11-26	David	William Lopez	6	Quebec	4875
11744	2024-11-26	Kenneth	Caitlin Dudley	3	Quebec	3978
11745	2024-11-26	David	Peter Johnson	4	Newfoundland and Labrador	3497
11746	2024-11-26	Joy	Jake Rhodes	7	Manitoba	4266
11747	2024-11-26	Patricia	Michael Nixon	2	Newfoundland and Labrador	4526
11748	2024-11-27	Gloria	Jennifer Hernandez	2	Saskatchewan	2205
11749	2024-11-27	Olufemi	Cameron Smith	5	Alberta	1946
11750	2024-11-27	Anith	Timothy Murphy	7	British Columbia	3005
11751	2024-11-27	Kenneth	Kaylee Wheeler	6	Newfoundland and Labrador	2250
11752	2024-11-27	Joy	Mary Watkins	6	Nova Scotia	2335
11753	2024-11-27	Kenneth	Paige Graham	2	British Columbia	2334
11754	2024-11-28	Gloria	Trevor Phillips	5	Nova Scotia	2217
11755	2024-11-28	Kenneth	Tamara Griffin	6	New Brunswick	1467
11756	2024-11-28	Joy	Jimmy Johnson	4	Manitoba	3221
11757	2024-11-28	Joy	Heather Campbell	3	Quebec	2292
11758	2024-11-28	David	Teresa Smith	6	Manitoba	3515
11759	2024-11-28	Joy	Billy Jimenez	3	Ontario	1947
11760	2024-11-28	Patricia	Robert Baldwin	6	Manitoba	4616
11761	2024-11-28	Olufemi	Joshua Walker	4	British Columbia	3202
11762	2024-11-28	Joy	Nicole Carson	4	Newfoundland and Labrador	4938
11763	2024-11-28	David	Cindy Johnston	5	Manitoba	4848
11764	2024-11-29	Kenneth	Michele Riggs	7	Manitoba	1342
11765	2024-11-29	Patricia	Sarah Ibarra	7	Ontario	1488
11766	2024-11-29	Olufemi	John Moses	3	Alberta	4196
11767	2024-11-29	Gloria	Leslie Martinez	2	Manitoba	2868
11768	2024-11-29	David	Christopher Macdonald	7	British Columbia	4734
11769	2024-11-29	Joy	Mr. James Hall	4	Ontario	3210
11770	2024-11-29	Patricia	Ashley Wagner	4	Nova Scotia	3562
11771	2024-11-29	Olufemi	Tammy Ryan	7	Saskatchewan	4293
11772	2024-11-29	David	Lori Johnson	5	New Brunswick	2720
11773	2024-11-29	Olufemi	Megan Lee	3	Saskatchewan	1049
11774	2024-11-30	Patricia	Jamie King	4	Alberta	1454
11775	2024-11-30	Joy	Jasmine Morris	5	Ontario	4442
11776	2024-11-30	Patricia	Michael Davis	4	British Columbia	2641
11777	2024-11-30	Anith	Christopher Hebert	2	British Columbia	4390
11778	2024-11-30	David	Jennifer Galvan	4	British Columbia	2139
11779	2024-11-30	David	Christopher Robinson	6	Saskatchewan	2438
11780	2024-11-30	Anith	Jennifer Morales	2	Prince Edward Island	4280
11781	2024-11-30	Anith	Corey Wallace	6	Saskatchewan	3723
11782	2024-12-01	Anith	Austin Moore	5	Nova Scotia	1882
11783	2024-12-01	Kenneth	Raymond Huerta	7	Nova Scotia	2231
11784	2024-12-01	Joy	Ronnie Clark	5	Saskatchewan	3729
11785	2024-12-02	Olufemi	Laura Lozano	3	New Brunswick	4391
11786	2024-12-02	Joy	Elizabeth Smith	5	Prince Edward Island	2063
11787	2024-12-02	Anith	Michelle Brown	4	Ontario	1745
11788	2024-12-02	Olufemi	Craig Mercer	7	Ontario	4406
11789	2024-12-02	Joy	Wesley Moore	5	Quebec	2019
11790	2024-12-03	Anith	Pamela Bell	3	Nova Scotia	4912
11791	2024-12-03	Patricia	Jonathan Smith	7	Manitoba	4920
11792	2024-12-03	Olufemi	Toni Manning	2	Manitoba	3092
11793	2024-12-03	Anith	Katie Shannon	3	Saskatchewan	1640
11794	2024-12-03	Anith	Timothy Randolph	4	Quebec	2795
11795	2024-12-04	Olufemi	Martin Nichols	5	Newfoundland and Labrador	3206
11796	2024-12-04	David	Anthony Bailey	5	Nova Scotia	3260
11797	2024-12-04	David	Rachel Pearson	7	Nova Scotia	3687
11798	2024-12-04	David	Jaime Wilson	4	Manitoba	3841
11799	2024-12-04	Joy	David Lucas	2	New Brunswick	1128
11800	2024-12-04	Gloria	Karen Conway	6	Alberta	2291
11801	2024-12-04	Joy	Christina Chan	2	Newfoundland and Labrador	3684
11802	2024-12-04	Olufemi	Matthew Pollard	3	Manitoba	2811
11803	2024-12-04	Joy	Brianna Cooper	5	New Brunswick	2440
11804	2024-12-05	Patricia	Tiffany Simmons	7	Saskatchewan	2804
11805	2024-12-05	Joy	Daniel Foster	6	Manitoba	3002
11806	2024-12-05	Joy	Jeffrey Sims	7	Prince Edward Island	4578
11807	2024-12-05	Anith	Stephanie Anderson	2	Saskatchewan	2907
11808	2024-12-05	Kenneth	Trevor Townsend	2	Prince Edward Island	4966
11809	2024-12-05	Patricia	Julie Wong	7	Ontario	3339
11810	2024-12-06	Gloria	Zachary Hamilton	2	Prince Edward Island	3258
11811	2024-12-06	Kenneth	Evelyn Caldwell	7	Saskatchewan	1258
11812	2024-12-06	Kenneth	Susan Guerrero	5	Ontario	2151
11813	2024-12-07	Gloria	Heather Castro DDS	4	Quebec	3230
11814	2024-12-07	Anith	Leslie Shields	5	Newfoundland and Labrador	3694
11815	2024-12-07	Anith	Gregory Fritz	5	Saskatchewan	3317
11816	2024-12-07	David	Samuel Brady	5	Manitoba	4022
11817	2024-12-07	Anith	Henry Webb PhD	5	Ontario	3752
11818	2024-12-07	Gloria	Alexander Harris	3	Prince Edward Island	1457
11819	2024-12-07	Kenneth	Cynthia Cox	5	Prince Edward Island	2049
11820	2024-12-07	Kenneth	Tammy Williams	3	Nova Scotia	1652
11821	2024-12-07	Gloria	Mr. Joseph Garrett	4	Quebec	1403
11822	2024-12-08	Joy	William Brown MD	3	Alberta	4358
11823	2024-12-08	Anith	Sarah Hill	6	Quebec	1469
11824	2024-12-08	Joy	Michael Griffin	5	New Brunswick	1035
11825	2024-12-08	Joy	Victor Gonzalez	5	Manitoba	3686
11826	2024-12-09	Anith	Martin Lang	2	Prince Edward Island	3176
11827	2024-12-09	Anith	Mrs. Michelle Shannon	7	Ontario	4911
11828	2024-12-09	Anith	Jennifer Mcintyre	4	Ontario	2087
11829	2024-12-09	Anith	Jessica Padilla	6	Alberta	1788
11830	2024-12-09	Joy	Patricia Dennis	2	Newfoundland and Labrador	4642
11831	2024-12-10	Olufemi	Gregory Hammond	3	Ontario	1209
11832	2024-12-10	Kenneth	Rachel Jenkins	6	Manitoba	3488
11833	2024-12-10	Olufemi	Ryan Figueroa	7	Nova Scotia	1463
11834	2024-12-11	Gloria	Garrett Schneider	5	Prince Edward Island	3457
11835	2024-12-11	Joy	Suzanne Oconnor	6	Quebec	1466
11836	2024-12-11	Joy	Bobby Barnett	6	Newfoundland and Labrador	1779
11837	2024-12-11	Olufemi	Elizabeth Fox	2	Manitoba	1228
11838	2024-12-11	Joy	John Fowler	7	Ontario	1608
11839	2024-12-11	Gloria	Cynthia Jordan	5	Manitoba	2302
11840	2024-12-11	Patricia	Erica Smith	4	Nova Scotia	2729
11841	2024-12-11	Anith	Anthony Brown	6	Ontario	1111
11842	2024-12-12	Patricia	Valerie Vega	7	Alberta	3984
11843	2024-12-12	Patricia	Chelsey Hernandez	6	Nova Scotia	4652
11844	2024-12-12	Joy	Charles Thomas	4	British Columbia	2935
11845	2024-12-12	Kenneth	Mary Proctor	2	Ontario	4798
11846	2024-12-12	Olufemi	Gabriel Clark	7	Prince Edward Island	4272
11847	2024-12-12	Anith	Jesus Evans	3	Saskatchewan	3018
11848	2024-12-12	Anith	Jason Berg	4	Manitoba	2511
11849	2024-12-12	Gloria	Danny Williamson	4	British Columbia	3138
11850	2024-12-12	Anith	Taylor Turner	5	Alberta	1375
11851	2024-12-12	Olufemi	Veronica Wallace	2	New Brunswick	1869
11852	2024-12-13	Kenneth	Kevin Wells	4	Nova Scotia	4380
11853	2024-12-13	Joy	Robert Kim	2	Ontario	1959
11854	2024-12-13	Kenneth	Cindy Richard	5	Saskatchewan	4138
11855	2024-12-14	Anith	Thomas Mann	6	Newfoundland and Labrador	4529
11856	2024-12-14	Patricia	Timothy Franklin	3	British Columbia	3682
11857	2024-12-14	David	Kenneth Roberts	6	Nova Scotia	4701
11858	2024-12-14	Kenneth	Karen Shaw	5	Alberta	4827
11859	2024-12-14	Kenneth	Jennifer Salinas	3	Newfoundland and Labrador	3533
11860	2024-12-14	Olufemi	Keith Moore	6	Saskatchewan	4715
11861	2024-12-14	Gloria	Gregory Roy	5	Ontario	1980
11862	2024-12-14	Anith	Jon Kaufman	6	Quebec	2916
11863	2024-12-14	Gloria	Debbie Beasley	5	British Columbia	1352
11864	2024-12-14	Gloria	Kelly Mclaughlin	7	Manitoba	2874
11865	2024-12-15	Kenneth	Emily Hurst	6	New Brunswick	3859
11866	2024-12-15	Joy	Carrie Ellison	5	New Brunswick	3135
11867	2024-12-15	Gloria	Ray Gordon	3	Alberta	4975
11868	2024-12-15	Kenneth	Heather Frye	5	New Brunswick	4769
11869	2024-12-15	Gloria	Mr. Sean Leon	4	Prince Edward Island	1292
11870	2024-12-15	Joy	Sandra Henry	4	British Columbia	2228
11871	2024-12-15	Gloria	Brittany Gomez	4	British Columbia	1026
11872	2024-12-15	Kenneth	Sandra Hudson	2	Saskatchewan	4671
11873	2024-12-15	Patricia	Thomas Rice	5	Manitoba	3305
11874	2024-12-15	Kenneth	Monica Cervantes	2	New Brunswick	2146
11875	2024-12-16	Patricia	Destiny Wiley	4	Ontario	3881
11876	2024-12-16	Anith	Lisa Sheppard	5	Alberta	1827
11877	2024-12-16	Kenneth	Rebekah Shaw	7	Alberta	2387
11878	2024-12-17	Joy	Sierra Meyer	7	British Columbia	3417
11879	2024-12-17	Anith	Christina Robles	7	Alberta	2236
11880	2024-12-17	Kenneth	Danielle Johnson	6	British Columbia	3518
11881	2024-12-17	Anith	Elizabeth Sanders	7	New Brunswick	2651
11882	2024-12-18	Gloria	Patricia Oconnor	7	British Columbia	3945
11883	2024-12-18	Kenneth	Gregory Caldwell	6	New Brunswick	4525
11884	2024-12-18	Kenneth	Alicia Fuller	6	Newfoundland and Labrador	1741
11885	2024-12-18	Anith	Timothy Crawford	7	Prince Edward Island	2344
11886	2024-12-18	David	Melanie Booth	2	Ontario	1604
11887	2024-12-18	Anith	Tyler Steele	3	Prince Edward Island	3968
11888	2024-12-18	Gloria	Amanda Scott	6	Newfoundland and Labrador	4084
11889	2024-12-18	Kenneth	Roger Bell	2	Saskatchewan	2673
11890	2024-12-18	Joy	Tracey Jackson	4	Ontario	4325
11891	2024-12-19	Joy	Donna Hurley	4	Newfoundland and Labrador	3359
11892	2024-12-19	David	Tanya Russo	6	British Columbia	2385
11893	2024-12-19	Kenneth	Ryan Murray	2	Prince Edward Island	2262
11894	2024-12-19	Olufemi	Jessica Heath	2	Ontario	3006
11895	2024-12-19	Anith	April Ballard	7	Saskatchewan	2060
11896	2024-12-19	David	Mitchell Schmidt	6	New Brunswick	4433
11897	2024-12-19	Joy	Jose Clarke	2	Quebec	3285
11898	2024-12-19	Kenneth	Amy Moss	5	Quebec	1574
11899	2024-12-20	Joy	Ronald Lam	5	Ontario	3149
11900	2024-12-20	Gloria	Erica Austin	6	Alberta	2877
11901	2024-12-20	David	Katrina Hughes	3	New Brunswick	1348
11902	2024-12-20	Gloria	Susan Carlson	2	Prince Edward Island	1778
11903	2024-12-20	Gloria	Kevin Chase	2	Prince Edward Island	3156
11904	2024-12-20	David	James Rodgers	7	Ontario	2527
11905	2024-12-20	Olufemi	Tonya Rose	2	Ontario	4861
11906	2024-12-20	Olufemi	Oscar Evans	5	Prince Edward Island	4691
11907	2024-12-21	Gloria	Erika King	7	Newfoundland and Labrador	2726
11908	2024-12-21	Joy	Kathy Adams	5	Ontario	2845
11909	2024-12-21	Kenneth	Matthew Spencer	6	British Columbia	2671
11910	2024-12-21	Anith	Joseph Scott	4	Quebec	1023
11911	2024-12-21	Olufemi	Howard Robertson	3	Newfoundland and Labrador	1809
11912	2024-12-21	Joy	Christopher Anderson	3	Manitoba	4234
11913	2024-12-21	Patricia	Paige Fisher	4	Manitoba	3332
11914	2024-12-21	Olufemi	Misty Bright	5	Newfoundland and Labrador	2947
11915	2024-12-21	Anith	John Edwards	2	Newfoundland and Labrador	3537
11916	2024-12-22	Patricia	Jennifer Smith	2	Prince Edward Island	1106
11917	2024-12-22	Anith	Cynthia Parsons	3	Saskatchewan	2973
11918	2024-12-22	Olufemi	Kelly Craig	3	Prince Edward Island	4648
11919	2024-12-22	Kenneth	Adam Le	5	Prince Edward Island	1828
11920	2024-12-22	Anith	Colton Ware	2	Prince Edward Island	4626
11921	2024-12-22	Gloria	Judith Salazar	6	Ontario	4045
11922	2024-12-22	Gloria	Ashley Estrada	4	Newfoundland and Labrador	2208
11923	2024-12-22	Joy	Kerry Singleton	3	New Brunswick	3263
11924	2024-12-22	Anith	Jack Castillo	4	Ontario	3715
11925	2024-12-23	Kenneth	Matthew Thomas	5	Alberta	4458
11926	2024-12-23	Patricia	Michael Thompson	7	British Columbia	1838
11927	2024-12-23	David	Brian Perry	6	Saskatchewan	4927
11928	2024-12-23	David	Anne Lamb	6	Quebec	2417
11929	2024-12-23	Gloria	Trevor Rollins	4	Manitoba	3259
11930	2024-12-23	Anith	Robert Kelly	3	Manitoba	3182
11931	2024-12-23	Joy	Robert Shelton	7	New Brunswick	2876
11932	2024-12-23	Anith	Christopher Butler	2	Alberta	2565
11933	2024-12-23	David	Phyllis Camacho	3	British Columbia	1306
11934	2024-12-23	Gloria	Crystal Baker	7	Ontario	4996
11935	2024-12-24	Patricia	Alyssa Pratt	7	Quebec	1494
11936	2024-12-24	Olufemi	Michelle Hill	4	Ontario	4136
11937	2024-12-24	Olufemi	Antonio Ward	2	Quebec	2365
11938	2024-12-24	Anith	Savannah Guerrero	6	Newfoundland and Labrador	3999
11939	2024-12-24	David	Matthew Long	7	Manitoba	3141
11940	2024-12-24	Patricia	Christy Armstrong	2	New Brunswick	1866
11941	2024-12-24	Kenneth	Erik Jones	2	Ontario	1117
11942	2024-12-24	David	Christine Flores	2	Manitoba	4103
11943	2024-12-24	Kenneth	Jenna Wilson	4	Ontario	1610
11944	2024-12-25	Patricia	Miguel Jackson	7	Manitoba	4978
